"","Largos","Dimension","Semillas"
"1407",21,90,52
"1408",6,90,52
"1409",12,90,52
"1410",21,90,52
"1411",28,90,52
"1412",10,90,52
"1413",36,90,52
"1414",69,90,52
"1415",28,90,52
"1416",26,90,52
"1417",32,90,52
"1418",16,90,52
"1419",30,90,52
"1420",41,90,52
"1421",15,90,52
"1422",42,90,52
"1423",67,90,52
"1424",23,90,52
"1425",28,90,52
"1426",43,90,52
"1427",23,90,52
"1428",9,90,52
"1429",6,90,52
"1430",9,90,52
"1431",7,90,52
"1432",31,90,52
"1433",23,90,52
"1434",7,90,52
"1435",3,90,52
"1436",16,90,52
"1437",62,90,52
"1438",19,90,52
"1439",38,90,52
"1440",28,90,52
"1441",6,90,52
"1442",20,90,52
"1443",87,90,52
"1444",2,90,52
"1445",10,90,52
"1446",15,90,52
"1447",61,90,52
"1448",28,90,52
"1449",13,90,52
"1450",29,90,52
"1451",10,90,52
"1452",12,90,52
"1453",35,90,52
"1454",44,90,52
"1455",23,90,52
"1456",11,90,52
"1457",3,90,52
"1458",63,90,52
"1459",208,90,52
"1460",16,90,52
"1461",85,90,52
"1462",12,90,52
"1463",9,90,52
"1464",15,90,52
"1465",12,90,52
"1466",49,90,52
"1467",40,90,52
"1468",60,90,52
"1469",10,90,52
"1470",36,90,52
"1471",27,90,52
"1472",28,90,52
"1473",7,90,52
