"","Tam","Rep","Gap","Time","Val"
"",125000,18,0.0523449915866089,0.669,3.14323712
"",125000,19,0.0254134287363681,0.697000000000003,3.14239104
"",125000,20,0.00925943054585885,0.678000000000001,3.14130176
"",125000,21,0.0430359291885976,0.667000000000002,3.14024064
"",125000,22,0.0274913556733707,0.633000000000003,3.14245632
"",125000,23,0.0664227931462956,0.664000000000001,3.13950592
"",125000,24,0.106167373621652,0.665999999999997,3.144928
"",125000,25,0.0182230369407977,0.663999999999994,3.14102016
"",125000,26,0.0740206215961788,0.669000000000004,3.14391808
"",125000,27,0.0161646166834032,0.666000000000004,3.14210048
"",125000,28,0.0253319414055056,0.689,3.14238848
"",125000,29,0.00243400143298305,0.683,3.14166912
"",125000,30,0.000581029808946047,0.630000000000003,3.1415744
